query_idx,anchor_idx,status,n_matches,n_inliers,n_overlapping,median_depth,x_error,y_error,z_error,pos_error,rot_error,distance_anchor_query,pointmap_error,pointmap_error_x,pointmap_error_y,pointmap_error_z,scale,pose_x,pose_y,pose_z,pose_qx,pose_qy,pose_qz,pose_qw
8740,8030,OK,1108,1659,,15.514225,0.08035487912603548,0.16221663565953404,1.819460956040978,1.8284445066891168,0.02261484203947761,0.2519187935071259,4.933795771471547,1.717562021843438,1.1457453625436185,4.332863298975996,1.8235012597447804,209.15481747831313,3.484007207397128,0.18085928527640302,0.41872670935498557,0.5881302489974332,-0.5676287910167002,-0.39568713486273716
7960,10880,OK,913,1370,,19.951511,1.4284339270577437,0.264186750398949,3.0964737427853883,3.4202876725233677,0.10025562210702871,1.8998076293060275,4.706630946815225,1.874116901034573,1.2339401995151569,3.892268644339066,1.7322240565563605,226.054741009839,10.756620176824745,0.6036655972225002,0.38905641052689216,0.6191246869462916,-0.5798642040703923,-0.35927320562407283
7860,10750,OK,1197,1774,,12.568718,0.11163884016281156,0.03485594469580472,1.8721020299956193,1.875751630207809,0.0301770330393276,2.35638227041184,1.4944627147844467,0.6859595976396198,0.38029073580613115,1.2789627909290733,1.2939652545971505,254.94935194586398,16.28125250093197,1.8555532431468942,0.4324116222583485,0.5716863721991894,-0.5420685100727962,-0.438584782185944
5180,4170,OK,1004,1584,,14.415401,0.19610614503083418,0.1311945309462778,1.3545421403663087,1.3749378295389247,0.05136717977923039,0.11641379900540337,2.0800676511440432,1.0832315350332,0.506942357739131,1.6678740643390038,1.3320891582084113,134.65770354773815,-180.51124662551084,-0.4948827430824146,0.14299483340959626,-0.6856109061218202,0.7003587152065125,-0.13779634632043528
9020,8200,OK,534,979,,45.401283,0.26339209058489416,0.22045676671186923,5.485013378271211,5.495757303519316,0.04850574020031856,3.9458999457601913,3.2164039953042254,1.2146813790525959,0.7342018426484633,2.7722066822986946,1.6418831287667421,155.31088215294798,-15.180289007652805,-1.4182944495572938,0.3506358306453953,0.6161142477998424,-0.6132584779323594,-0.34838453922316037
7840,10700,OK,1197,1780,,13.6951885,0.8019050089612936,0.2097021590314632,3.800566952880963,3.8899017728254472,0.1202416880353878,1.9318898654449779,1.4856329668478816,1.027514109557747,0.5689683417136,0.5903182598917187,1.5030010525409485,263.57584406154524,19.323034574091512,2.5923208180421073,0.41805285100367817,0.5988935219697877,-0.5628831249464001,-0.38693791589981835
9380,8570,OK,588,1245,,21.172543,0.15715970201486207,0.6062112045746298,2.461527163319915,2.5399423560882264,0.05362827541300273,2.854900811644469,1.9386065429966963,0.8261587632114358,0.5362676160250555,1.6014002084641117,1.671617217880232,214.92686777745902,-10.176930122507041,0.5566721451631854,-0.6040082165517286,0.3534357634453486,-0.35404407290439877,0.6204111780884256
9080,8300,OK,967,1549,,13.566198,0.3494880175825579,0.06752514881209819,0.2659451592293014,0.4443290986120319,0.01287349509064099,1.7282583305704906,0.8897231707461535,0.4713672732759755,0.18317084922068227,0.6763445410310318,2.9100686594870857,146.2735717584511,-25.295598228687393,-1.8062719951401918,0.0011329656432415103,-0.7052601181947233,0.7083831062472408,-0.028288811504316044
8820,8090,OK,1027,1678,,15.431692,0.22475511664114683,0.33160295864497824,2.582024044272572,2.612914761303967,0.026201648659597513,0.32822053467796136,4.223417847993792,1.7453309898869391,1.1169714730296005,3.5788955083355445,1.870778939521902,190.1314505564115,-3.425724559893276,-0.30517904492298814,0.4146104368665582,0.5953071608417339,-0.565993262002744,-0.3916110280104085
8960,8190,OK,898,1567,,19.73423,0.7797915839126702,0.3287844582397914,3.542122256540113,3.6418133140782887,0.041590075328453976,3.5246097428748286,1.6872975420165683,1.0052119920327147,0.6037721420617661,1.039055326940458,1.7803443554284448,163.0562116678113,-13.53148674802787,-1.9804579686673782,-0.41176401837880894,-0.5690103290628059,0.5837359326306926,0.4073450620102677
5060,4050,OK,535,923,,14.819398,0.2227060151961331,0.08612400725448822,0.32832169737284156,0.40596853424359775,0.017184798158301956,1.0634375795591107,2.875251557479813,0.9403596739661573,0.5548936504366919,2.6671147639042805,3.337067804243661,124.93630138090454,-153.5578899676891,-0.8198666996620836,-0.04965495887451728,0.7082536720825866,-0.702068153086197,0.05487649280737727
8900,8170,OK,774,1372,,12.652576,0.6833321537903838,0.27380201534207604,5.383341297440106,5.43344033745962,0.022057932355418232,9.178002992525192,1.7298362569732837,0.8208310061630719,0.5558679739348205,1.3608427802302865,1.6868081420980066,175.3655204038317,-8.63886982647525,-1.6794641417208065,-0.3976602476538356,-0.5860786077174052,0.5885030840905653,0.3899260353295367
7940,10830,OK,532,977,,28.574757,2.2530149780400692,0.6535309674930929,4.828034912256694,5.367783558482482,0.13645597909555277,6.680832013727611,1.7432705893397078,1.0385797225300895,0.6475431440425972,1.114363262292744,1.347355521512475,231.67257253703116,13.032035266239706,0.41087198775201184,0.3715313146452313,0.6056373686274489,-0.5988551046019228,-0.36951376652599255
7940,10900,OK,1176,1701,,14.139975,0.12816182852154534,0.07814223548543593,7.799828345154093,7.801272580619516,0.030589450553528033,6.326940178307952,2.8439266009479636,1.5619782249689858,0.9803525389088961,2.1590228435419965,1.6876014659045044,235.316307852397,12.445847267292356,1.419280354798492,0.41095170373493056,0.5984246404677992,-0.5642964052612713,-0.3931618164160278
