mapillary_sequence,query_idx,anchor_idx,method,num_matches,num_inliers,lat,lon,compass_deg,anchor_lat,anchor_lon,status
n4k0JDQfdeItNMf9OOwCUQ,305791817730395,23866,anydepth80,623,419,41.905624573154974,12.482253813279916,38.17425811840825,41.90571901166416,12.482267781333483,success
n4k0JDQfdeItNMf9OOwCUQ,305791817730395,23881,anydepth80,612,387,41.90556276634109,12.482332213936939,38.49446647291023,41.90571989778162,12.48227505598066,success
n4k0JDQfdeItNMf9OOwCUQ,306713820894516,7811,anydepth80,1160,968,41.90576971343622,12.482468251743882,174.29120463044524,41.90577153512811,12.482355820317698,success
n4k0JDQfdeItNMf9OOwCUQ,306713820894516,7806,anydepth80,1070,916,41.905771433638776,12.482466036002227,176.2240796435429,41.90577335700001,12.482355874803934,success
n4k0JDQfdeItNMf9OOwCUQ,306713820894516,7781,anydepth80,922,769,41.90576994169036,12.482447194784827,-171.17898954109071,41.90578272461229,12.482356078782804,success
n4k0JDQfdeItNMf9OOwCUQ,339973640889465,23861,anydepth80,481,294,41.90559504538986,12.482144058744636,37.44924198738254,41.90571929958456,12.482265439226117,success
n4k0JDQfdeItNMf9OOwCUQ,339973640889465,23881,anydepth80,480,292,41.90559443370283,12.482177218069836,38.49446647291023,41.90571989778162,12.48227505598066,success
n4k0JDQfdeItNMf9OOwCUQ,339973640889465,23866,anydepth80,456,266,41.90558376635374,12.482158351384204,38.17425811840825,41.90571901166416,12.482267781333483,success
n4k0JDQfdeItNMf9OOwCUQ,367029038020395,23861,anydepth80,692,481,41.905611950431656,12.48226707937265,37.44924198738254,41.90571929958456,12.482265439226117,success
n4k0JDQfdeItNMf9OOwCUQ,367029038020395,23871,anydepth80,653,439,41.90561425533376,12.48228925764369,38.27769416826821,41.905719134027166,12.48227029133488,success
n4k0JDQfdeItNMf9OOwCUQ,367029038020395,23866,anydepth80,661,396,41.905616382963146,12.482286843585197,38.17425811840825,41.90571901166416,12.482267781333483,success
n4k0JDQfdeItNMf9OOwCUQ,3849401905172977,23861,anydepth80,558,347,41.90557813163558,12.482181621138038,37.44924198738254,41.90571929958456,12.482265439226117,success
n4k0JDQfdeItNMf9OOwCUQ,3849401905172977,23871,anydepth80,518,303,41.90557694987986,12.482198805344566,38.27769416826821,41.905719134027166,12.48227029133488,success
n4k0JDQfdeItNMf9OOwCUQ,3849401905172977,23866,anydepth80,507,288,41.90557304599894,12.482199743083243,38.17425811840825,41.90571901166416,12.482267781333483,success
