query_idx,anchor_idx,status,n_matches,n_inliers,n_overlapping,median_depth,x_error,y_error,z_error,pos_error,rot_error,distance_anchor_query,pose_x,pose_y,pose_z,pose_qx,pose_qy,pose_qz,pose_qw
2150,9300,OK,261,480,96,18.19391193630252,10.98549707882232,2.3698297957975525,1.5409036646668017,11.343351507982426,0.4110988304317259,13.677387249607223,-29.693426523583177,-53.54666793121408,-1.6014141034438032,0.6927668258628752,0.3798386431859498,-0.27565871224126026,-0.5475481754987627
2150,9400,OK,237,470,115,18.280222069543612,0.07500880847730684,0.12141630940042375,0.30295997499143734,0.33489250213227684,0.006036013335581386,16.560181779590568,-27.48939303430859,-46.680388844843016,-2.6889367818014183,0.5836177198115745,0.4934368215311365,-0.40181708294471574,-0.5044338332556484
2150,9350,OK,215,460,91,27.278632543850254,0.30774428763698936,0.5782992293387021,0.18529507860722028,0.6807869060014233,0.016729007918946624,15.084381046238581,-27.366341962622425,-46.50990132455871,-3.0310210071479817,0.5792812341522162,0.49337840363791696,-0.4058637184856329,-0.5062466242848446
2150,9250,OK,206,338,76,17.034649350064257,9.844904981082276,0.7750626271765984,4.754646999456142,10.960362414264493,0.4228340900057856,12.306852386869974,-24.319905443898485,-55.88880537037292,-1.5100117839163902,0.6879408998951749,0.37662660315611646,-0.26958324936971145,-0.5587616591228949
2150,9450,OK,42,332,23,26.181285167496963,1.5311514074376724,0.6630843720183791,0.7749944579636505,1.8397613776758512,0.07034519222489165,17.89499337052157,-27.12760202448683,-47.850925794063144,-2.946273508050264,0.5914048068101434,0.474915313929267,-0.38391552949473184,-0.5265972515026094
2150,9200,OK,189,317,52,23.20621073752085,1.1569605268637169,0.6347825873655744,0.7313244993376262,1.5087551548461173,0.051345763638128164,10.793046613348587,-27.89424871362167,-47.520268919596745,-2.4222552024869803,0.6034011134659334,0.4873288051201884,-0.3842377068897512,-0.5007785104937182
2150,9500,OK,31,305,20,27.893059461364807,1.1971702702017772,1.0861884020436303,0.9033285844037344,1.8517625204085826,0.06913994785638532,19.152298901150132,-27.237855307343995,-47.60442015278884,-3.3660373105790873,0.585504202682757,0.4708699925871708,-0.39476309953603334,-0.5287989920248433
2150,9600,OK,181,303,89,18.25029224405927,23.25918015632409,1.8118871756501345,1.2695858845750796,23.364165831459463,0.9277015500689002,21.79971031466913,-30.320009976997827,-66.16480430599893,-1.4574998979672102,0.7483396151808752,0.20592593435385642,-0.10432989961212577,-0.6218501442939083
2150,9550,FAILED,0,265,,,,,,,,,,,,,,,
2150,9650,OK,23,257,6,27.399261333613403,4.1840368710963105,0.12455154771059707,3.1854582147615313,5.260116126543428,0.19051095306612356,22.58836001744163,-27.550608230849516,-50.11968122921894,-2.3927792835920556,0.6227666622555882,0.4490597299957563,-0.3380836442396561,-0.5442485579005296
2200,9300,OK,175,326,67,9.169266525447565,11.030558173957916,0.019124048610720867,8.943889848961843,14.200941693728193,0.5253429223000521,15.028174861773119,-23.538981450616106,-58.19494807341661,-1.5295517315330436,0.7346048611445443,0.30942079051300786,-0.22029877182405877,-0.5622125252197085
2200,9400,OK,161,318,77,18.155139660009137,14.06186860676813,0.4323846466181002,10.069296843288727,17.30068912254383,0.6580637683823428,17.653336529244676,-23.22189233124617,-62.06002460226302,-1.649841927679122,0.6965033754667953,0.30610149241810025,-0.1363878935951266,-0.6344944970474182
2200,9450,OK,91,296,49,19.34235330725726,1.5410393793730766,0.7098186932404663,0.5883760108203386,1.7957815223910216,0.058140157841493886,18.858074688848795,-29.123380884024265,-45.35177574506673,-3.300719323030703,0.595487026228038,0.48575143154605127,-0.39374015552172636,-0.5043901647284337
2200,9350,OK,157,294,63,27.470194394988255,0.1297362821538055,0.4409811064703963,0.48402947966298626,0.667518071930467,0.011395074320192312,16.304094119222935,-29.518847703406767,-46.33520967902066,-3.2983148164404352,0.6114100548935412,0.471305910003718,-0.3746705374661618,-0.5134885318344137
2200,9600,OK,166,259,67,18.2084833832103,7.718687610996694,0.24196758352531564,2.2517049761112045,8.044057561148783,0.05781731637975186,22.38167683191711,-28.35328794772269,-54.292867582563595,-2.4990650405175443,0.6187522634237537,0.4658301844579064,-0.3517828430342351,-0.5257344454214936
2200,9500,OK,86,254,38,28.202326546074566,0.2742984224118281,0.04814587119502731,0.22023580890038907,0.3550513497689518,0.01540438938254453,19.981637161483476,-29.153269335888734,-46.50345992696241,-2.9761058707246675,0.6160436189144861,0.4701745259467809,-0.36980292186906244,-0.5125153399875629
2200,9200,OK,132,225,35,23.161814816440874,2.862644965278108,1.7366080519118772,0.5614102469669238,3.394955844867018,0.12601756187139412,12.389683662362662,-30.074416331914794,-47.97170290677937,-2.1283917739756384,0.6511400870188809,0.4614404245097384,-0.32564284626058926,-0.506997098990338
2200,9550,OK,64,222,25,18.67967340239986,11.761294794844941,2.8353051353947873,3.7286453605619396,12.65977119409679,0.44565157730939675,21.274262958501815,-30.851258763517862,-52.935353337522,-1.698071945650389,0.7129545348612971,0.3474110648469271,-0.23144356727501697,-0.5634139316786996
2200,9250,OK,119,221,53,16.554919265546708,9.516640975060556,0.34326053231697284,7.270594524557117,11.981061221017443,0.4474195038306232,13.788976267659457,-24.623287400538665,-55.760808596644864,-1.6029298423469829,0.7122328872097482,0.3507054165840177,-0.22694753037025453,-0.5641142114982913
2200,9650,FAILED,42,198,,,,,,,,,,,,,,,
2250,9400,OK,174,303,72,18.232889500514936,19.593211895699664,1.0467879433552674,2.8945757225934123,19.833514212109964,0.6764612129385488,18.92941401683717,-36.32298015462049,-53.08545563829367,-4.208736280375315,0.6925928642368423,0.2544215613444925,-0.17499887974317527,-0.6518897035694544
2250,9350,OK,133,273,50,27.49784326410802,0.19174015636727582,0.9316945325886274,0.33507044381192586,1.0085093910993637,0.036930066589786294,17.698219884001226,-31.453261911962578,-45.68931552839584,-3.6557646597862696,0.5954667364255206,0.46848714024440113,-0.38587940002576865,-0.5263423352459075
2250,9450,OK,125,262,65,19.34235330725726,12.07659543704134,2.640737880653562,5.17789670600942,13.402547078909649,0.4246583183950826,20.011762300440324,-35.0208378525062,-50.05799023647758,-2.4417594604805393,0.6927908396940596,0.36328447755018173,-0.22823675501552312,-0.5796319732960522
