anchor_seq,query_seq,anchor_idx,query_idx,num_matches,num_inliers
0,3,0,6000,55,26
0,3,0,6050,23,12
0,3,0,6100,32,15
0,3,0,6150,4,0
0,3,0,6200,11,7
0,3,0,6250,13,7
0,3,0,6300,68,25
0,3,0,6350,28,15
0,3,0,6400,65,24
0,3,0,6450,9,7
0,3,0,6500,19,11
0,3,0,6550,47,18
0,3,0,6600,29,12
0,3,0,6650,18,10
0,3,0,6700,24,13
0,3,0,6750,18,11
0,3,0,6800,11,7
0,3,0,6850,15,11
0,3,0,6900,5,0
0,3,0,6950,6,0
0,3,0,7000,41,13
0,3,0,7050,16,9
0,3,0,7100,44,15
0,3,0,7150,31,13
0,3,0,7200,57,16
0,3,0,7250,49,17
0,3,0,7300,19,10
0,3,0,7350,24,18
0,3,0,7400,12,7
0,3,0,7450,8,7
0,3,0,7500,70,21
0,3,0,7550,13,7
0,3,0,7600,1,0
0,3,0,7650,40,19
0,3,0,7700,12,7
0,3,0,7750,15,10
0,3,0,7800,6,0
0,3,0,7850,0,0
0,3,0,7900,1,0
0,3,0,7950,10,7
0,3,50,6000,82,53
0,3,50,6050,16,12
0,3,50,6100,78,41
0,3,50,6150,79,35
0,3,50,6200,37,17
0,3,50,6250,14,8
0,3,50,6300,56,24
0,3,50,6350,62,21
0,3,50,6400,71,27
0,3,50,6450,68,26
0,3,50,6500,74,20
0,3,50,6550,79,25
0,3,50,6600,26,11
0,3,50,6650,29,12
0,3,50,6700,12,7
0,3,50,6750,2,0
0,3,50,6800,6,0
0,3,50,6850,9,7
0,3,50,6900,12,7
0,3,50,6950,13,7
0,3,50,7000,33,19
0,3,50,7050,25,13
0,3,50,7100,23,12
0,3,50,7150,21,11
0,3,50,7200,9,7
0,3,50,7250,10,7
0,3,50,7300,3,0
0,3,50,7350,19,13
0,3,50,7400,26,15
0,3,50,7450,3,0
0,3,50,7500,6,0
0,3,50,7550,4,0
0,3,50,7600,3,0
0,3,50,7650,4,0
0,3,50,7700,1,0
0,3,50,7750,26,14
0,3,50,7800,19,10
0,3,50,7850,9,7
0,3,50,7900,6,0
0,3,50,7950,1,0
0,3,100,6000,73,41
0,3,100,6050,52,24
0,3,100,6100,58,23
0,3,100,6150,32,17
0,3,100,6200,56,24
0,3,100,6250,42,16
0,3,100,6300,112,32
0,3,100,6350,89,22
0,3,100,6400,121,38
0,3,100,6450,128,34
0,3,100,6500,59,20
0,3,100,6550,67,25
0,3,100,6600,21,12
0,3,100,6650,26,15
0,3,100,6700,13,7
0,3,100,6750,21,11
0,3,100,6800,18,13
0,3,100,6850,9,7
0,3,100,6900,42,20
0,3,100,6950,34,13
0,3,100,7000,24,13
0,3,100,7050,22,12
0,3,100,7100,1,0
0,3,100,7150,7,0
0,3,100,7200,30,14
0,3,100,7250,6,0
0,3,100,7300,2,0
0,3,100,7350,7,0
0,3,100,7400,15,11
0,3,100,7450,52,18
0,3,100,7500,10,7
0,3,100,7550,6,0
0,3,100,7600,0,0
0,3,100,7650,7,0
0,3,100,7700,4,0
0,3,100,7750,25,12
0,3,100,7800,30,20
0,3,100,7850,10,7
0,3,100,7900,16,12
0,3,100,7950,17,12
0,3,150,6000,119,45
0,3,150,6050,47,18
0,3,150,6100,31,17
0,3,150,6150,46,22
0,3,150,6200,40,23
0,3,150,6250,21,11
0,3,150,6300,36,22
0,3,150,6350,34,17
0,3,150,6400,96,25
0,3,150,6450,82,27
0,3,150,6500,114,46
0,3,150,6550,125,45
0,3,150,6600,38,18
0,3,150,6650,44,19
0,3,150,6700,40,22
0,3,150,6750,29,16
0,3,150,6800,18,15
0,3,150,6850,17,11
0,3,150,6900,32,16
0,3,150,6950,12,7
0,3,150,7000,56,16
0,3,150,7050,6,0
0,3,150,7100,10,7
0,3,150,7150,26,14
0,3,150,7200,12,7
0,3,150,7250,22,11
0,3,150,7300,2,0
0,3,150,7350,19,10
0,3,150,7400,4,0
0,3,150,7450,3,0
0,3,150,7500,0,0
0,3,150,7550,1,0
0,3,150,7600,6,0
0,3,150,7650,5,0
0,3,150,7700,31,11
0,3,150,7750,30,14
0,3,150,7800,17,13
0,3,150,7850,15,11
0,3,150,7900,45,13
0,3,150,7950,24,12
0,3,200,6000,117,47
0,3,200,6050,5,0
0,3,200,6100,24,13
0,3,200,6150,29,18
0,3,200,6200,59,26
0,3,200,6250,8,7
0,3,200,6300,5,0
0,3,200,6350,1,0
0,3,200,6400,104,25
0,3,200,6450,36,15
0,3,200,6500,60,24
0,3,200,6550,51,17
0,3,200,6600,29,17
0,3,200,6650,30,15
0,3,200,6700,15,11
0,3,200,6750,0,0
0,3,200,6800,1,0
0,3,200,6850,4,0
0,3,200,6900,9,7
0,3,200,6950,28,13
0,3,200,7000,34,13
0,3,200,7050,17,10
0,3,200,7100,12,7
0,3,200,7150,9,7
0,3,200,7200,3,0
0,3,200,7250,7,0
0,3,200,7300,16,11
0,3,200,7350,24,13
0,3,200,7400,0,0
0,3,200,7450,4,0
0,3,200,7500,11,7
0,3,200,7550,3,0
0,3,200,7600,8,7
0,3,200,7650,10,7
0,3,200,7700,2,0
0,3,200,7750,20,12
0,3,200,7800,10,7
0,3,200,7850,10,7
0,3,200,7900,12,8
0,3,200,7950,0,0
0,3,250,6000,123,38
0,3,250,6050,92,24
0,3,250,6100,41,19
0,3,250,6150,36,20
0,3,250,6200,157,41
0,3,250,6250,31,18
0,3,250,6300,114,29
0,3,250,6350,90,34
0,3,250,6400,138,37
0,3,250,6450,117,29
0,3,250,6500,87,27
0,3,250,6550,78,26
0,3,250,6600,26,15
0,3,250,6650,7,0
0,3,250,6700,15,10
0,3,250,6750,2,0
0,3,250,6800,8,7
0,3,250,6850,9,7
0,3,250,6900,16,10
0,3,250,6950,6,0
0,3,250,7000,9,7
0,3,250,7050,27,14
0,3,250,7100,0,0
0,3,250,7150,2,0
0,3,250,7200,5,0
0,3,250,7250,9,7
0,3,250,7300,1,0
0,3,250,7350,7,0
0,3,250,7400,6,0
0,3,250,7450,63,16
0,3,250,7500,2,0
0,3,250,7550,5,0
0,3,250,7600,1,0
0,3,250,7650,4,0
0,3,250,7700,6,0
0,3,250,7750,6,0
0,3,250,7800,20,11
0,3,250,7850,52,23
0,3,250,7900,0,0
0,3,250,7950,8,7
0,3,300,6000,77,35
0,3,300,6050,64,22
0,3,300,6100,50,18
0,3,300,6150,27,16
0,3,300,6200,76,37
0,3,300,6250,48,22
0,3,300,6300,83,23
0,3,300,6350,98,31
0,3,300,6400,128,33
0,3,300,6450,65,20
0,3,300,6500,74,23
0,3,300,6550,71,34
0,3,300,6600,5,0
0,3,300,6650,24,12
0,3,300,6700,34,18
0,3,300,6750,7,0
0,3,300,6800,10,7
0,3,300,6850,11,7
0,3,300,6900,20,11
0,3,300,6950,9,7
0,3,300,7000,76,35
0,3,300,7050,39,15
0,3,300,7100,0,0
0,3,300,7150,2,0
0,3,300,7200,8,7
0,3,300,7250,5,0
0,3,300,7300,8,7
0,3,300,7350,6,0
0,3,300,7400,6,0
0,3,300,7450,15,11
0,3,300,7500,9,7
0,3,300,7550,1,0
0,3,300,7600,12,7
0,3,300,7650,8,7
0,3,300,7700,15,10
0,3,300,7750,5,0
0,3,300,7800,23,13
0,3,300,7850,31,17
0,3,300,7900,25,16
0,3,300,7950,15,10
0,3,350,6000,129,30
0,3,350,6050,62,20
0,3,350,6100,53,22
0,3,350,6150,38,19
0,3,350,6200,81,30
0,3,350,6250,134,47
0,3,350,6300,58,24
