anchor_seq,query_seq,anchor_idx,query_idx,num_matches,num_inliers
0,3,1400,6750,1435,1397
4,3,8850,6750,547,400
4,3,8800,6750,578,364
4,3,8950,6750,479,341
0,3,1500,6800,1939,1826
0,3,1550,6800,1706,1516
0,3,1450,6800,1517,1453
4,3,8800,6800,767,678
4,3,8850,6800,681,524
4,3,8950,6800,589,476
0,3,1500,6850,1739,1674
0,3,1550,6850,1673,1665
0,3,1450,6850,1074,1023
4,3,8800,6850,764,594
4,3,8850,6850,724,582
4,3,8950,6850,589,450
0,3,1550,6900,1764,1587
0,3,1600,6900,1385,1338
0,3,1500,6900,1103,963
4,3,8850,6900,920,851
4,3,8800,6900,827,755
4,3,8950,6900,890,659
0,3,1600,6950,1722,1611
0,3,1750,6950,1655,1401
0,3,1650,6950,1335,1251
4,3,9050,6950,1012,920
4,3,9100,6950,1050,840
4,3,8950,6950,898,769
0,3,1700,7000,1639,1543
0,3,1650,7000,1607,1421
0,3,1750,7000,1565,1265
4,3,9100,7000,1207,930
4,3,9200,7000,1044,908
4,3,9150,7000,1092,870
0,3,1750,7050,1862,1612
0,3,1700,7050,1533,1366
0,3,1850,7050,1766,1341
4,3,9100,7050,1204,983
4,3,9050,7050,1124,963
4,3,9150,7050,1143,869
0,3,1800,7100,2012,1807
0,3,1850,7100,1914,1698
0,3,1750,7100,1917,1601
4,3,9050,7100,1147,934
4,3,9100,7100,1127,891
4,3,9000,7100,912,782
0,3,1800,7150,1504,1435
0,3,1850,7150,1486,1305
0,3,1750,7150,1168,1095
4,3,8850,7150,979,841
4,3,8800,7150,806,744
4,3,8950,7150,976,744
0,3,1850,7200,1356,1341
0,3,1800,7200,1192,1127
0,3,1750,7200,934,800
4,3,8950,7200,904,823
4,3,8850,7200,949,797
4,3,8900,7200,819,673
0,3,1850,7250,1086,975
0,3,1800,7250,978,744
0,3,1750,7250,788,598
4,3,8950,7250,813,785
4,3,8850,7250,869,757
4,3,8800,7250,752,688
0,3,1850,7300,755,683
0,3,1800,7300,778,599
0,3,1750,7300,638,534
4,3,8850,7300,915,865
4,3,8800,7300,916,823
4,3,8950,7300,749,725
0,3,1800,7350,666,514
0,3,1850,7350,598,466
0,3,1750,7350,520,407
4,3,8950,7350,650,592
4,3,8850,7350,651,552
4,3,8800,7350,632,541
0,3,1800,7400,557,439
0,3,1850,7400,509,430
0,3,1750,7400,459,403
4,3,8800,7400,789,667
4,3,8950,7400,677,644
4,3,8850,7400,745,595
0,3,1800,7450,465,404
0,3,1750,7450,374,300
0,3,1850,7450,334,296
4,3,8800,7450,459,415
4,3,8900,7450,438,400
4,3,8950,7450,448,398
0,3,1800,7500,506,470
0,3,1750,7500,454,420
0,3,1850,7500,424,401
4,3,8950,7500,620,566
4,3,8900,7500,551,532
4,3,8800,7500,605,516
0,3,1800,7550,572,523
0,3,1850,7550,536,484
0,3,1600,7550,511,481
4,3,8850,7550,708,659
4,3,8800,7550,685,633
4,3,8950,7550,699,616
0,3,1850,7600,638,503
0,3,1800,7600,555,488
0,3,1600,7600,451,425
4,3,9050,7600,635,582
4,3,8950,7600,594,575
4,3,9000,7600,562,537
0,3,1850,7650,574,475
0,3,1800,7650,501,454
0,3,1700,7650,445,398
4,3,9100,7650,888,755
4,3,9050,7650,773,740
4,3,9150,7650,707,659
0,3,1850,7700,430,365
0,3,1800,7700,360,311
0,3,1700,7700,381,298
4,3,9150,7700,797,753
4,3,9500,7700,784,717
4,3,9250,7700,757,705
0,3,1900,7750,354,314
0,3,1700,7750,294,248
0,3,1650,7750,268,235
4,3,9500,7750,1103,1090
4,3,9550,7750,1118,1070
4,3,9650,7750,970,909
0,3,1950,7800,828,684
0,3,1900,7800,814,670
0,3,1700,7800,377,351
4,3,9500,7800,1277,1212
4,3,9450,7800,1230,1149
4,3,9550,7800,1139,1078
0,3,1950,7850,825,811
0,3,1900,7850,635,563
0,3,1650,7850,338,319
4,3,9600,7850,1325,1142
4,3,9650,7850,1074,1036
4,3,9700,7850,1171,1012
0,3,1950,7900,659,629
0,3,1900,7900,456,386
0,3,1650,7900,193,157
4,3,9700,7900,1819,1710
4,3,9650,7900,1449,1217
4,3,9750,7900,1269,1193
0,3,1600,7950,303,119
0,3,1950,7950,106,92
0,3,750,7950,339,76
4,3,9750,7950,1624,1477
4,3,8000,7950,1476,1328
4,3,9700,7950,1374,1328
4,5,8250,10000,1666,1651
4,5,8200,10000,1661,1499
4,5,9950,10000,1420,1342
4,5,8250,10050,1572,1421
4,5,8200,10050,1395,1357
4,5,8300,10050,1413,1243
4,5,8350,10100,1515,1411
4,5,8400,10100,1517,1326
4,5,8300,10100,1255,1217
4,5,8400,10150,1842,1732
4,5,8450,10150,1530,1509
4,5,8350,10150,1530,1362
4,5,8400,10200,1637,1619
4,5,8450,10200,1516,1288
4,5,8500,10200,1449,1258
4,5,8500,10250,1491,1461
4,5,8400,10250,1532,1309
4,5,8550,10250,1276,1274
4,5,8400,10300,1434,1277
4,5,8600,10300,1289,1182
4,5,8500,10300,1436,1138
4,5,8600,10350,1430,1317
4,5,8550,10350,1304,1176
4,5,8400,10350,1330,1107
4,5,8600,10400,1540,1498
4,5,8650,10400,1291,1230
4,5,8700,10400,1074,1011
4,5,8600,10450,1281,1220
4,5,8650,10450,1142,948
4,5,8550,10450,1012,942
4,5,8650,10500,1027,997
4,5,8550,10500,1058,936
4,5,8600,10500,1040,925
4,5,8550,10550,1004,899
4,5,8600,10550,829,775
4,5,8650,10550,867,729
4,5,8550,10600,886,750
4,5,8650,10600,744,673
4,5,8450,10600,709,632
4,5,8550,10650,665,613
4,5,8600,10650,612,582
4,5,8450,10650,679,560
4,5,8550,10700,753,700
4,5,8500,10700,658,613
4,5,8600,10700,669,598
4,5,8650,10750,663,624
4,5,8600,10750,724,622
4,5,8550,10750,746,570
4,5,8600,10800,661,577
4,5,8650,10800,609,524
4,5,8700,10800,529,494
4,5,8650,10850,573,496
4,5,8600,10850,615,473
4,5,8550,10850,519,452
4,5,8650,10900,553,471
4,5,8600,10900,544,461
4,5,8700,10900,487,418
4,5,8650,10950,505,407
4,5,8600,10950,453,390
4,5,8550,10950,543,351
4,5,8650,11000,479,329
4,5,8700,11000,321,246
4,5,8550,11000,471,232
4,5,8700,11050,322,242
4,5,8650,11050,337,204
4,5,8750,11050,214,173
4,5,8700,11100,244,199
4,5,8650,11100,280,176
4,5,8600,11100,226,173
4,5,8650,11150,215,148
4,5,8700,11150,205,141
4,5,8750,11150,156,138
4,5,8700,11200,378,271
4,5,8650,11200,372,250
4,5,8600,11200,376,245
4,5,8650,11250,527,274
4,5,8750,11250,316,271
4,5,8600,11250,395,211
4,5,8650,11300,314,173
4,5,8550,11300,273,157
4,5,8600,11300,284,149
4,5,8650,11350,334,202
4,5,8550,11350,332,161
4,5,8600,11350,294,152
4,5,8600,11400,148,75
4,5,8500,11400,153,71
4,5,8550,11400,137,63
4,5,8650,11450,122,52
4,5,8600,11450,119,44
4,5,8550,11450,111,33
