mapillary_sequence,query_idx,anchor_idx,method,num_matches,num_inliers,lat,lon,compass_deg,anchor_lat,anchor_lon,status
S0kbYi8VQ_WxGBZSOrY3Wg,1385441325146397,38950,lidar,1421,1185,41.90573693445082,12.482126523965047,138.7445052440257,41.90572492718605,12.482200627696836,success
S0kbYi8VQ_WxGBZSOrY3Wg,1385441325146397,39050,lidar,1955,1549,41.90575072816889,12.482164205599561,135.06493979214252,41.90575302852018,12.48216068009821,success
S0kbYi8VQ_WxGBZSOrY3Wg,138940178222730,39050,lidar,1442,1054,41.905770712304154,12.482077056140762,135.06493979214252,41.90575302852018,12.48216068009821,success
S0kbYi8VQ_WxGBZSOrY3Wg,138940178222730,39100,lidar,1638,1161,41.90577835965213,12.482124784536772,132.20206429925312,41.9057659926062,12.48214126435926,success
S0kbYi8VQ_WxGBZSOrY3Wg,138940178222730,39150,lidar,1952,1390,41.905783031501976,12.482121206663775,126.7084979155206,41.90577991910063,12.482120508936738,success
S0kbYi8VQ_WxGBZSOrY3Wg,1414497498903528,40850,lidar,731,583,41.90642665655979,12.48141915891343,119.670541657643,41.90632991462373,12.48151570723808,success
S0kbYi8VQ_WxGBZSOrY3Wg,1414497498903528,40950,lidar,561,464,41.906508000661624,12.481490337109259,100.07095102473863,41.90636778471629,12.481493502849276,success
S0kbYi8VQ_WxGBZSOrY3Wg,1414497498903528,40800,lidar,577,457,41.90652484647788,12.481512713976333,120.43008621603651,41.90631246961758,12.481530706222156,success
S0kbYi8VQ_WxGBZSOrY3Wg,1420318224985387,40400,lidar,1783,1324,41.906182272936846,12.481621435733963,131.9331284769227,41.906181190345045,12.481677289493923,success
S0kbYi8VQ_WxGBZSOrY3Wg,1420318224985387,40450,lidar,1930,1526,41.906195098083565,12.48167599358427,133.13313715035233,41.90619729182358,12.481658740546958,success
S0kbYi8VQ_WxGBZSOrY3Wg,1420318224985387,40350,lidar,1380,984,41.90617840696022,12.481614677374548,133.10464620566827,41.90616548215163,12.48169626732725,success
S0kbYi8VQ_WxGBZSOrY3Wg,1455826301428213,38100,lidar,1247,1183,41.9054591470542,12.482404589754838,130.8132517189029,41.9054913888028,12.482516272512008,success
S0kbYi8VQ_WxGBZSOrY3Wg,1455826301428213,38050,lidar,1153,925,41.90544491880963,12.482400035894926,128.20371633856328,41.90547535460177,12.48253071924735,success
S0kbYi8VQ_WxGBZSOrY3Wg,1455826301428213,38000,lidar,1092,894,41.90546031658329,12.4825443054588,125.25044163686734,41.90545919489196,12.48254528874031,success
S0kbYi8VQ_WxGBZSOrY3Wg,147824697357307,40850,lidar,288,169,nan,nan,119.670541657643,41.90632991462373,12.48151570723808,fail
S0kbYi8VQ_WxGBZSOrY3Wg,147824697357307,40700,lidar,229,126,nan,nan,130.02928047174416,41.90627722498521,12.481562576336035,fail
S0kbYi8VQ_WxGBZSOrY3Wg,147824697357307,40750,lidar,201,123,nan,nan,125.92603825333052,41.906294788970655,12.48154639659766,fail
S0kbYi8VQ_WxGBZSOrY3Wg,149050590566545,38900,lidar,1813,1688,41.90571612754607,12.482205761547176,140.93455774012523,41.90571169771593,12.482219411822356,success
S0kbYi8VQ_WxGBZSOrY3Wg,149050590566545,38850,lidar,1578,1286,41.90571575655737,12.482208510020772,141.81783927440475,41.90569988063249,12.482240040192098,success
S0kbYi8VQ_WxGBZSOrY3Wg,149050590566545,38950,lidar,1910,1597,41.90571596195267,12.482204097341318,138.7445052440257,41.90572492718605,12.482200627696836,success
S0kbYi8VQ_WxGBZSOrY3Wg,153171543365412,39200,lidar,1692,1325,41.90579704247125,12.482067248216113,124.63967339311968,41.90579538809709,12.482103263674771,success
S0kbYi8VQ_WxGBZSOrY3Wg,153171543365412,39100,lidar,1289,1117,41.90578796065057,12.482060688774752,132.20206429925312,41.9057659926062,12.48214126435926,success
S0kbYi8VQ_WxGBZSOrY3Wg,153171543365412,39250,lidar,1782,1349,41.90580627459504,12.482106250046613,125.04013147562404,41.90581222316505,12.48208785749581,success
S0kbYi8VQ_WxGBZSOrY3Wg,155802506495884,40550,lidar,2027,1763,41.90622956497932,12.481635563276882,132.17430743799474,41.90622980348912,12.481620515474727,success
S0kbYi8VQ_WxGBZSOrY3Wg,155802506495884,40500,lidar,1801,1498,41.906225374378145,12.481634097881107,133.13578516939262,41.906213839352745,12.48163977596886,success
